epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
128,2010.32,0.90284,0.57544,1.21132,0.90068,0.85794,0.91624,0.60613,1.13555,0.61126,1.30392,0.00124782,0.00124782,0.00124782
129,2025.6,0.90903,0.57075,1.21414,0.91877,0.8495,0.91647,0.61386,1.1115,0.59472,1.26198,0.00124452,0.00124452,0.00124452
130,2040.91,0.90917,0.56928,1.2165,0.9226,0.84464,0.91444,0.61419,1.11624,0.60238,1.28111,0.00124121,0.00124121,0.00124121
131,2056.18,0.90211,0.56798,1.20848,0.886,0.86538,0.91795,0.6295,1.05046,0.59233,1.20839,0.00123791,0.00123791,0.00123791
132,2071.45,0.90311,0.56724,1.20226,0.90811,0.84612,0.91212,0.61427,1.07111,0.59774,1.21731,0.00123461,0.00123461,0.00123461
133,2086.74,0.8899,0.56158,1.19292,0.92313,0.8412,0.91418,0.61227,1.11959,0.61896,1.28948,0.00123131,0.00123131,0.00123131
134,2102.09,0.89038,0.55222,1.19588,0.92327,0.84827,0.91816,0.60571,1.1327,0.6177,1.3064,0.00122801,0.00122801,0.00122801
135,2117.33,0.91391,0.57273,1.21632,0.90875,0.84969,0.92147,0.63216,1.07295,0.57972,1.25974,0.00122471,0.00122471,0.00122471
136,2132.69,0.89874,0.56653,1.20393,0.91494,0.83727,0.91267,0.61834,1.08333,0.59918,1.2549,0.00122141,0.00122141,0.00122141
137,2147.9,0.89457,0.5619,1.20896,0.90467,0.86579,0.92035,0.60164,1.15787,0.60938,1.30739,0.00121811,0.00121811,0.00121811
138,2163.12,0.89668,0.56548,1.19911,0.90558,0.85638,0.9079,0.62035,1.08183,0.61957,1.25711,0.00121481,0.00121481,0.00121481
139,2178.33,0.89078,0.55811,1.19116,0.90156,0.86787,0.92256,0.60613,1.14967,0.60285,1.30503,0.00121151,0.00121151,0.00121151
140,2193.53,0.90254,0.57267,1.2084,0.91061,0.87384,0.92392,0.60544,1.13034,0.59809,1.28875,0.00120821,0.00120821,0.00120821
141,2208.86,0.88333,0.54801,1.19027,0.93248,0.84753,0.92824,0.63055,1.05366,0.59172,1.20476,0.00120491,0.00120491,0.00120491
142,2224.17,0.89643,0.55338,1.1939,0.91668,0.85806,0.92216,0.61583,1.13337,0.61577,1.2757,0.00120161,0.00120161,0.00120161
143,2239.4,0.90097,0.56416,1.20662,0.92183,0.85944,0.92018,0.63579,1.03785,0.59177,1.20143,0.00119831,0.00119831,0.00119831
144,2254.73,0.89271,0.55208,1.19296,0.89948,0.87394,0.92074,0.61362,1.10706,0.59897,1.26976,0.00119501,0.00119501,0.00119501
